Neonatal_mortality_rate,Year_sdg3_neonat,sdg3_neonat,Life_expectancy_at_birth,Year_sdg3_lifee,Score_sdg3_lifee,Maternal_mortality_rate,Year_sdg3_matmort,sdg3_matmort,Adjusted_GDP_growth,Year_sdg8_adjgrowth,sdg8_adjgrowth
7.419,2021,83.63,74.41,2019,70.379,129.8,2020,84.407,-3.117,2021,58.797
4.869,2021,90.236,80.97,2019,93,7.17,2020,99.535,-4.09,2020,53.858
19.463,2021,52.427,64.58,2019,36.483,214.6,2020,73.945,-6.644,2021,40.893
11.025,2021,74.288,65.25,2019,38.793,126.8,2020,84.777,-3.964,2021,54.497
2.968,2021,95.161,75.81,2019,75.207,15.9,2020,98.458,-0.091,2021,74.157
19.118,2021,53.321,70.79,2019,57.897,102.7,2020,87.75,-2.627,2021,61.284
18.944,2021,53.772,66.47,2019,43,226.6,2020,72.465,-3.32,2021,57.766
10.317,2021,76.122,76.13,2019,76.31,26.58,2020,97.14,-4.833,2021,50.086
21.032,2021,48.363,68.51,2019,50.034,126.1,2020,84.863,-1.866,2021,65.147
9.504,2021,78.228,71.94,2019,61.862,71.82,2020,91.559,-3.599,2021,56.35
14.992,2021,64.01,73.95,2019,68.793,259.2,2020,68.443,-3.585,2011,56.421
17.999,2021,56.22,62.25,2019,28.448,185.9,2020,77.486,-2.458,2021,62.142
7.568,2021,83.244,70.42,2019,56.621,146.2,2020,82.383,-3.614,2021,56.274
32.287,2021,19.205,62.92,2019,30.759,479.9,2020,41.216,-1.315,2021,67.944
21.086,2021,48.223,68.58,2019,50.276,260.9,2020,68.233,-3.152,2021,58.619
22.824,2021,43.72,66.28,2019,42.345,263.1,2020,67.962,-1.765,2021,65.66
18.424,2021,55.119,66.09,2019,41.69,530,2020,35.036,-1.908,2021,64.934
7.15,2021,84.326,73.21,2019,66.241,77.05,2020,90.914,-5.572,2021,46.335
21.664,2021,46.725,69.13,2019,52.172,178.7,2020,78.374,-8.048,2021,33.766
17.524,2021,57.451,69.1,2019,52.069,258.9,2020,68.48,-2.117,2021,63.873
10.801,2021,74.868,72.02,2019,62.138,95.5,2020,88.638,-1.223,2021,68.411
39.444,2021,0.663,65.61,2019,40.034,154.2,2020,81.396,-3.006,2021,59.36
25.295,2021,37.319,65.47,2019,39.552,458.2,2020,43.893,-4.117,2021,53.721
33.428,2021,16.249,62.8,2019,30.345,440.2,2020,46.114,-6.091,2021,43.701
23.25,2021,42.617,57.73,2019,12.862,239.6,2020,70.861,-0.997,2021,69.558
22.613,2021,44.267,68.38,2019,49.586,463.8,2020,43.203,-4.1,2021,53.807
20.01,2021,51.01,67.34,2019,46,238.3,2020,71.021,-3.906,2021,54.792
19.299,2021,52.852,65.62,2019,40.069,380.7,2020,53.454,-5.361,2021,47.406
24.042,2021,40.565,64.27,2019,35.414,399,2020,51.197,-3.46,2021,57.056
30.936,2021,22.705,60.77,2019,23.345,442.8,2020,45.793,-5.429,2021,47.061
24.993,2021,38.101,60.68,2019,23.034,356.8,2020,56.403,-9.144,2021,28.203
25.643,2021,36.417,62.36,2019,28.828,437.8,2020,46.41,-4.558,2021,51.482
29.248,2021,27.078,63.43,2019,32.517,522.6,2020,35.949,-1.506,2021,66.975
19.008,2021,53.606,66.69,2019,43.759,284.1,2020,65.371,-4.146,2021,53.574
31.108,2021,22.259,61.01,2019,24.172,553.4,2020,32.149,-2.605,2021,61.396
35.262,2021,11.497,50.75,2019,0,566.2,2020,30.57,-8.26,2021,32.69
26.189,2021,35.003,68.7,2019,50.69,266.7,2020,67.518,-1.155,2021,68.756
24.561,2021,39.22,62.45,2019,29.138,134.7,2020,83.802,-6.313,2021,42.574
34.922,2021,12.378,62.62,2019,29.724,1047,2020,0,-4.932,2021,49.584
20.445,2021,49.883,63.84,2019,33.931,494.4,2020,39.428,-8.349,2021,32.239
21.217,2021,47.883,65.3,2019,38.966,191.8,2020,76.758,-5.895,2021,44.695
27.51,2021,31.58,58.14,2019,14.276,127.1,2020,84.74,-7.63,2021,35.888
29.56,2021,26.269,65.81,2019,40.724,234.5,2020,71.49,-1.6,2021,66.497
18.409,2021,55.158,64.74,2019,37.034,282.4,2020,65.581,-9.481,2021,26.492
24.282,2021,39.943,64.05,2019,34.655,350.4,2020,57.192,-8.113,2021,33.437
25.253,2021,37.427,62.7,2019,30,263.8,2020,67.876,-3.066,2021,59.056
25.752,2021,36.135,67.39,2019,46.172,217,2020,73.649,-5.142,2021,48.518
26.647,2021,33.816,63.06,2019,31.241,221.9,2020,73.045,-8.405,2021,31.954
24.116,2021,40.373,65.35,2019,39.138,391.5,2020,52.122,-7.671,2021,35.68
29.927,2021,25.319,64.08,2019,34.759,652.3,2020,19.948,-7.868,2021,34.68
34.088,2021,14.539,63.21,2019,31.759,620.4,2020,23.884,-15.106,2021,0
26.48,2021,34.249,62.35,2019,28.793,547.4,2020,32.889,-5.349,2021,47.467
26.66,2021,33.782,69.15,2019,52.241,270.4,2020,67.061,-9.396,2021,26.924
33.686,2021,15.58,63.29,2019,32.034,441.1,2020,46.003,-6.166,2021,43.32
35.953,2021,9.707,56.47,2019,8.517,620.7,2020,23.847,-4.924,2021,49.624
28.309,2021,29.51,66.63,2019,43.552,183.4,2020,77.794,-11.339,2013,17.061
32.347,2021,19.049,59.63,2019,19.414,1063,2020,0,-8.675,2021,30.584
31.912,2021,20.176,53.1,2019,0,835.3,2020,0,-7.164,2021,38.254
39.626,2021,0.192,62.79,2019,30.31,1223,2020,0,-14.117,2015,2.959
