iso3,country,sdg_score,correlation_index_1,correlation_index_2,correlation_index_3,correlation_index_4,correlation_index_5,correlation_index_6,correlation_index_7,correlation_index_8,correlation_index_9,correlation_index_10,correlation_index_11
LVA,Latvia,80.681642876,1,-11.761205933960758,-5.468305304010349,-2.139013452914798,0.9846806685356251,0.7136721546170365,0.9092284417549168,-5.382978723404255,0.9054248316562004,0.962224236929586,-2.4293552812071333
ESP,Spain,80.425091488,1,-4.757052389176741,-5.613756613756613,-3.0935672514619874,0.9815824370119346,0.681147867676365,0.9462047447415138,-5.052047609441194,0.8844224590277617,0.9948566020655886,-1.177747773252902
IRL,Ireland,80.14793835,1,-17.704699555763384,-5.082725060827251,-0.2635379061371839,0.9937761014744415,0.7136721546170365,0.9444104730668742,-1.21141088014153,0.9584258358485702,0.9783249523148951,-0.8991909446575758
PRT,Portugal,80.017487179,1,-12.069759843162881,-6.541478129713423,-3.4303797468354427,0.9799184689840753,0.714896650035638,0.9307431262552809,-8.40144155437167,0.8331386617720674,,-1.2844610956275415
BEL,Belgium,79.455058442,1,-12.57312521208008,-5.134969325153375,-0.4403292181069958,0.9927614911328266,0.6937212863705973,0.9536321483771252,-1.5119316754584278,0.8772885682030138,0.8950020999580008,-1.9721215003269332
JPN,Japan,79.414127742,1,-29.757400999615534,-5.510416666666667,-4.0724637681159415,0.975289117327271,0.7450767956153209,0.9544882200342856,-4.698005698005698,0.7298027560118887,-0.366120218579235,-3.1536863966770508
HUN,Hungary,79.393445339,1,-21.863675335810232,-6.451564828614008,-3.861111111111111,0.9739861085819828,0.7263085870680808,0.920844327176781,-8.322560596643878,0.886425586043976,0.9988187683533867,-1.8564899451553927
SVK,Slovak Republic,79.120326118,1,-12.177400757700545,-5.830601092896175,-1.5547445255474448,0.9896106054939118,0.7120230381569475,0.8787878787878788,-3.8582995951417005,0.8479549946784248,0.9939690734084384,-1.7761583520724022
ITA,Italy,78.786836071,1,-8.364391899801007,-7.503401360544218,-2.9999999999999996,0.9802734105300535,0.6566523605150214,0.945054945054945,-6.468259895444361,0.8325743369943746,0.9896484617614177,-0.9644435713584126
CAN,Canada,78.496779682,1,-13.19950301739439,-5.858710562414267,-1.456140350877193,0.98814308919954,0.7353902332535094,0.9619289340101523,-2.3452274754683318,0.9458446608251108,0.9999692748262937,-1.9236346626125598
NZL,New Zealand,78.433330655,1,-23.23508027870342,-5.510416666666667,-1.9787234042553192,0.9881268996960486,0.7489707801988151,0.9446831265096897,-2.3340742387197158,0.9711537906803667,0.9992317549482663,-2.0157724901233456
GRC,Greece,78.36883446,1,-5.8131493783001185,-7.3892617449664435,-3.4025157232704397,0.9788793376560289,0.6506550218340611,0.9307431262552809,-5.0471679096956255,0.8749499799919968,0.9868583593975871,-1.1357025393503193
CHL,Chile,78.223771218,1,-8.37756417770484,-5.830601092896175,-4.147058823529411,0.9720005599888002,0.6770599538195734,0.9258343634116193,-5.411626415900833,0.8857560663528766,0.9943281076298296,-4.923117929277972
KOR,"Korea, Rep.",78.061950275,1,-26.672085783465928,-6.974481658692185,-4.303030303030303,0.9742208244180351,0.7080803362914526,0.953198127925117,-6.401924500370096,0.8415916867317197,0.5450409463148317,-1.030910457157944
LUX,Luxembourg,77.645349552,1,-15.148566814695197,-5.561679790026246,-0.7456359102244386,0.9919728360772855,0.7117117117117117,0.9390243902439025,-2.8996490315871575,0.9125308328814093,,-0.45575240563085034
LTU,Lithuania,76.805112032,1,-13.48225923244026,-6.1530758226037205,-0.9390581717451523,0.9900864461892299,0.7238522609596134,0.8991596638655462,-3.042581862282711,0.9274889420636647,0.9875131112332052,-1.2226667555733368
USA,United States,75.914397052,1,-16.395085888236572,-7.9766606822262105,-2.1818181818181817,0.98449948848312,0.7193770169776904,0.968410079290701,-2.5808068751492,0.9273467015402499,0.9997902548194199,-3.5304217822679287
AUS,Australia,75.904118513,1,-22.021582733812952,-5.954102920723226,-1.7237354085603112,0.9885197345762634,0.7410567474138042,0.9586776859504132,-1.9262582910651576,0.9628001101116741,0.9999887085113728,-3.9125564943996856
TUR,Türkiye,70.778611363,1,-7.091433195104683,-11.135922330097088,-13.893617021276594,0.9502710229250584,0.6019900497512438,0.9258343634116193,-17.03968731208659,0.8518079430942501,0.6150885296381832,-3.235493434985176
COL,Colombia,70.050090865,1,-6.565727255532439,-9.917030567685588,-16.073170731707314,0.9182338511856092,0.6752825042213274,0.904,-24.0208507089241,0.8318932185724373,0.9999087708440375,-3.0451438048622625
